trade_id,period,open_time_utc,close_time_utc,side,pnl_pct,r_multiple,has_stop_loss,intraday
T-0001,insample,2020-01-02T14:30:00Z,2020-01-02T16:00:00Z,long,0.008,0.8,true,true
T-0002,insample,2020-01-03T14:30:00Z,2020-01-03T16:00:00Z,long,0.007,0.7,true,true
T-0003,insample,2020-01-06T14:30:00Z,2020-01-06T16:00:00Z,short,0.006,0.6,true,true
T-0004,insample,2020-01-07T14:30:00Z,2020-01-07T16:00:00Z,long,0.005,0.5,true,true
T-0005,insample,2020-01-08T14:30:00Z,2020-01-08T16:00:00Z,short,0.004,0.4,true,true
T-0006,insample,2020-01-09T14:30:00Z,2020-01-09T16:00:00Z,long,0.003,0.3,true,true
T-0007,insample,2020-01-10T14:30:00Z,2020-01-10T16:00:00Z,long,-0.002,-0.2,true,true
T-0008,insample,2020-01-13T14:30:00Z,2020-01-13T16:00:00Z,short,-0.003,-0.3,true,true
T-0009,insample,2020-01-14T14:30:00Z,2020-01-14T16:00:00Z,long,0.006,0.6,true,true
T-0010,insample,2020-01-15T14:30:00Z,2020-01-15T16:00:00Z,short,0.005,0.5,true,true
T-0011,outsample,2021-01-04T14:30:00Z,2021-01-04T16:00:00Z,long,0.004,0.4,true,true
T-0012,outsample,2021-01-05T14:30:00Z,2021-01-05T16:00:00Z,long,-0.004,-0.4,true,true
T-0013,outsample,2021-01-06T14:30:00Z,2021-01-06T16:00:00Z,short,0.003,0.3,true,true
T-0014,outsample,2021-01-07T14:30:00Z,2021-01-07T16:00:00Z,long,-0.003,-0.3,true,true
T-0015,outsample,2021-01-08T14:30:00Z,2021-01-08T16:00:00Z,short,0.002,0.2,true,true
T-0016,outsample,2021-01-11T14:30:00Z,2021-01-11T16:00:00Z,long,-0.002,-0.2,true,true
T-0017,outsample,2021-01-12T14:30:00Z,2021-01-12T16:00:00Z,long,0.001,0.1,true,true
T-0018,outsample,2021-01-13T14:30:00Z,2021-01-13T16:00:00Z,short,-0.001,-0.1,true,true
T-0019,outsample,2021-01-14T14:30:00Z,2021-01-14T16:00:00Z,long,0.0005,0.05,true,true
T-0020,outsample,2021-01-15T14:30:00Z,2021-01-15T16:00:00Z,short,-0.0005,-0.05,true,true
